                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0755,                 1.7986,                 1.2791,                0.89144,                0.94389,                 0.9518,                0.60276,                 1.1075,                 1.5905,                 1.4048,                0.00066,                0.00066,                0.00066
                      2,                 1.0865,                 1.2403,                 1.2656,                0.95864,                0.97989,                0.98462,                 0.6491,                 1.0513,                 1.1177,                 1.3051,             0.00088887,             0.00088887,             0.00088887
                      3,                0.97944,                0.92054,                 1.2057,                0.99107,                0.99713,                0.99349,                0.70928,                0.95191,                0.66953,                 1.1721,             0.00067773,             0.00067773,             0.00067773
