                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.89056,                   0.45,                 1.1605,                0.99181,                      1,                0.99477,                 0.7562,                0.91761,                0.41124,                 1.2096,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.8599,                 0.4411,                  1.134,                0.83508,                0.97126,                0.91635,                0.70415,                 0.9078,                0.53823,                  1.188,               0.001307,               0.001307,               0.001307
                     38,                0.88363,                0.44152,                 1.1406,                0.98542,                0.99713,                0.99423,                0.77966,                0.88172,                0.38288,                 1.1611,              0.0012872,              0.0012872,              0.0012872
                     39,                0.86214,                0.43237,                 1.1274,                0.99676,                      1,                0.99483,                0.75779,                0.91741,                0.37735,                  1.194,              0.0012674,              0.0012674,              0.0012674
                     40,                0.86052,                0.44019,                 1.1328,                0.99348,                      1,                0.99267,                0.76359,                0.92415,                0.40352,                 1.1922,              0.0012476,              0.0012476,              0.0012476
                     41,                 0.8433,                0.42125,                 1.1367,                0.99043,                0.99713,                0.99427,                0.73473,                0.95745,                0.40711,                 1.2088,              0.0012278,              0.0012278,              0.0012278
                     42,                0.88808,                0.44429,                  1.155,                0.99657,                      1,                0.99448,                0.77112,                0.87748,                0.37512,                   1.16,               0.001208,               0.001208,               0.001208
                     43,                0.83904,                0.42481,                 1.1234,                0.99388,                      1,                0.99491,                 0.7746,                0.86667,                0.37435,                 1.1474,              0.0011882,              0.0011882,              0.0011882
                     44,                0.86216,                0.43781,                 1.1359,                0.99396,                0.99713,                0.99428,                0.77257,                0.89211,                0.37475,                 1.1689,              0.0011684,              0.0011684,              0.0011684
                     45,                0.85625,                0.42744,                 1.1339,                  0.997,                      1,                0.99477,                0.78993,                0.87258,                0.38034,                  1.152,              0.0011486,              0.0011486,              0.0011486
                     46,                0.84949,                0.42464,                 1.1336,                0.99684,                      1,                0.99371,                0.76543,                0.87612,                0.37868,                 1.1482,              0.0011288,              0.0011288,              0.0011288
                     47,                0.85284,                0.42266,                 1.1409,                0.97988,                0.99713,                0.98832,                 0.7551,                0.90814,                0.40211,                 1.1702,               0.001109,               0.001109,               0.001109
                     48,                0.86094,                0.42873,                 1.1312,                0.99678,                      1,                0.99468,                0.78145,                0.89096,                0.37289,                 1.1576,              0.0010892,              0.0010892,              0.0010892
                     49,                0.85532,                0.41959,                 1.1271,                0.99661,                      1,                0.99471,                0.78415,                0.85772,                0.35529,                 1.1405,              0.0010694,              0.0010694,              0.0010694
                     50,                0.84331,                0.40911,                 1.1314,                0.99586,                      1,                  0.995,                0.77729,                 0.8716,                 0.3658,                 1.1441,              0.0010496,              0.0010496,              0.0010496
                     51,                0.83783,                0.40467,                 1.1189,                0.99379,                      1,                0.99477,                0.77246,                0.87526,                0.37197,                 1.1425,              0.0010298,              0.0010298,              0.0010298
                     52,                0.81775,                 0.4011,                 1.1205,                0.99399,                0.99713,                0.99486,                0.77418,                0.87692,                0.35949,                 1.1374,                0.00101,                0.00101,                0.00101
                     53,                0.82741,                0.40561,                 1.1194,                0.99682,                      1,                 0.9948,                0.79697,                0.85303,                  0.357,                 1.1378,              0.0009902,              0.0009902,              0.0009902
                     54,                0.82683,                0.40535,                 1.1245,                0.99675,                      1,                0.99466,                0.77432,                0.87228,                0.35714,                 1.1641,              0.0009704,              0.0009704,              0.0009704
                     55,                0.82276,                0.40739,                 1.1191,                0.99533,                      1,                0.99457,                0.77436,                0.86133,                0.36016,                  1.143,              0.0009506,              0.0009506,              0.0009506
                     56,                0.84053,                0.40575,                 1.1264,                0.99573,                      1,                0.99454,                0.78007,                0.85544,                0.36593,                 1.1428,              0.0009308,              0.0009308,              0.0009308
                     57,                0.82238,                0.39053,                  1.125,                0.99683,                      1,                0.99457,                0.78956,                0.86198,                0.35613,                 1.1543,               0.000911,               0.000911,               0.000911
                     58,                0.79572,                0.39181,                 1.1142,                0.99713,                0.99987,                0.99491,                0.78691,                0.87792,                0.35647,                 1.1419,              0.0008912,              0.0008912,              0.0008912
                     59,                0.80675,                0.39732,                 1.1171,                0.99683,                      1,                0.99457,                0.78198,                0.86081,                0.34268,                 1.1613,              0.0008714,              0.0008714,              0.0008714
                     60,                0.81995,                 0.3942,                 1.1205,                0.99687,                      1,                0.99454,                 0.7844,                0.85696,                0.34288,                 1.1507,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.8087,                0.38722,                 1.1152,                0.99689,                      1,                0.99477,                  0.779,                0.85501,                0.34077,                  1.146,              0.0008318,              0.0008318,              0.0008318
                     62,                0.82955,                0.40058,                 1.1215,                0.99662,                      1,                0.99494,                0.79251,                0.85457,                 0.3467,                 1.1341,               0.000812,               0.000812,               0.000812
                     63,                0.79026,                  0.381,                 1.0951,                0.98579,                0.99691,                0.99459,                0.78302,                0.83448,                0.34642,                 1.1197,              0.0007922,              0.0007922,              0.0007922
                     64,                0.77536,                0.37619,                 1.1076,                0.99399,                      1,                0.99463,                0.79082,                0.83176,                0.34761,                 1.1237,              0.0007724,              0.0007724,              0.0007724
                     65,                0.79618,                0.38549,                 1.1131,                  0.995,                      1,                 0.9948,                0.78369,                0.83533,                   0.34,                  1.124,              0.0007526,              0.0007526,              0.0007526
                     66,                0.77527,                0.38057,                 1.0987,                0.99686,                      1,                0.99448,                0.79058,                0.85432,                0.34086,                 1.1479,              0.0007328,              0.0007328,              0.0007328
                     67,                0.80537,                0.38486,                 1.1061,                0.99398,                      1,                0.99468,                0.78232,                0.85794,                0.34747,                 1.1207,               0.000713,               0.000713,               0.000713
                     68,                0.80134,                0.37631,                 1.1027,                0.99632,                      1,                0.99471,                0.79734,                0.84624,                0.33799,                 1.1393,              0.0006932,              0.0006932,              0.0006932
                     69,                0.79419,                 0.3696,                 1.1015,                0.99133,                      1,                0.99443,                0.78588,                0.83876,                0.33588,                 1.1155,              0.0006734,              0.0006734,              0.0006734
                     70,                0.77907,                0.36961,                 1.1008,                0.99502,                      1,                0.99483,                0.79693,                0.82563,                0.33015,                 1.1069,              0.0006536,              0.0006536,              0.0006536
                     71,                0.80711,                0.38237,                 1.1076,                0.99655,                      1,                0.99451,                0.78864,                0.86236,                0.34215,                 1.1247,              0.0006338,              0.0006338,              0.0006338
                     72,                0.76232,                 0.3711,                 1.0904,                0.99537,                0.99713,                0.99468,                0.79812,                 0.8399,                0.33424,                 1.1182,               0.000614,               0.000614,               0.000614
                     73,                0.77276,                0.36683,                 1.0951,                0.99692,                      1,                0.99454,                 0.7866,                0.84542,                0.33232,                 1.1193,              0.0005942,              0.0005942,              0.0005942
                     74,                0.75596,                0.36362,                 1.0836,                0.99416,                0.99713,                0.99471,                0.79787,                0.83312,                0.33076,                 1.1171,              0.0005744,              0.0005744,              0.0005744
                     75,                0.78129,                 0.3685,                   1.09,                0.99649,                      1,                0.99454,                0.80347,                0.82874,                0.32496,                 1.1059,              0.0005546,              0.0005546,              0.0005546
                     76,                0.77783,                0.36734,                 1.0948,                0.99694,                      1,                 0.9946,                0.77742,                0.84647,                0.33432,                 1.1176,              0.0005348,              0.0005348,              0.0005348
                     77,                0.76912,                0.35967,                 1.0916,                0.99427,                0.99713,                0.99454,                 0.7972,                0.82648,                 0.3237,                 1.1063,               0.000515,               0.000515,               0.000515
                     78,                0.76681,                0.37753,                 1.0862,                0.99694,                      1,                 0.9946,                0.79227,                0.84262,                0.33252,                 1.1094,              0.0004952,              0.0004952,              0.0004952
                     79,                0.76801,                0.35919,                 1.0819,                0.99428,                0.99974,                0.99466,                 0.7865,                0.84057,                0.32542,                 1.1149,              0.0004754,              0.0004754,              0.0004754
