                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94934,                0.47566,                 1.2035,                0.98436,                      1,                0.99182,                0.75399,                0.93497,                0.40558,                 1.2389,             0.00093466,             0.00093466,             0.00093466
                     36,                0.95409,                 0.4929,                 1.1986,                0.98003,                0.98713,                0.99174,                0.75113,                0.93869,                0.41642,                 1.2673,             0.00093268,             0.00093268,             0.00093268
                     37,                0.93674,                0.47866,                 1.2006,                0.98609,                0.97701,                0.99325,                0.73921,                 1.0135,                0.47664,                 1.3348,              0.0009307,              0.0009307,              0.0009307
                     38,                 0.9009,                0.46792,                 1.1762,                0.99308,                0.99713,                0.99445,                0.76353,                0.92717,                0.39959,                 1.2532,             0.00092872,             0.00092872,             0.00092872
                     39,                0.92755,                0.47047,                 1.2022,                0.99264,                0.99425,                0.99445,                 0.7648,                0.91946,                0.39448,                 1.2663,             0.00092674,             0.00092674,             0.00092674
                     40,                0.91772,                 0.4648,                 1.1808,                0.99333,                      1,                 0.9944,                0.77108,                0.90366,                0.39142,                 1.2231,             0.00092476,             0.00092476,             0.00092476
                     41,                0.92674,                 0.4659,                  1.196,                0.99089,                      1,                0.99453,                0.76105,                 0.9495,                0.39847,                 1.2817,             0.00092278,             0.00092278,             0.00092278
                     42,                0.90041,                0.45206,                 1.2002,                0.95803,                0.99138,                0.98166,                0.65611,                 1.1156,                 0.5432,                 1.4016,              0.0009208,              0.0009208,              0.0009208
                     43,                0.91907,                0.46999,                 1.1767,                 0.9968,                      1,                0.99383,                0.74003,                0.93671,                0.39222,                  1.257,             0.00091882,             0.00091882,             0.00091882
                     44,                0.90246,                 0.4544,                  1.182,                0.99395,                      1,                0.99351,                 0.7574,                0.93433,                0.39393,                 1.2714,             0.00091684,             0.00091684,             0.00091684
                     45,                0.89865,                0.44814,                 1.1834,                0.98582,                 0.9991,                 0.9941,                0.75333,                0.96558,                0.40924,                 1.2617,             0.00091486,             0.00091486,             0.00091486
                     46,                0.91085,                0.44865,                 1.1883,                0.99674,                0.99713,                 0.9946,                 0.7738,                0.91287,                0.38671,                 1.2211,             0.00091288,             0.00091288,             0.00091288
                     47,                0.87626,                0.45516,                 1.1839,                0.99332,                0.99138,                0.99418,                0.76164,                0.93205,                0.39603,                 1.2378,              0.0009109,              0.0009109,              0.0009109
                     48,                0.91919,                0.46651,                 1.1918,                0.99428,                0.99934,                 0.9932,                0.76329,                0.92838,                0.39288,                 1.2493,             0.00090892,             0.00090892,             0.00090892
                     49,                0.86741,                0.44298,                 1.1666,                0.99713,                      1,                0.99446,                0.76445,                0.96778,                0.38952,                 1.2708,             0.00090694,             0.00090694,             0.00090694
                     50,                0.86605,                0.45379,                 1.1721,                0.99666,                      1,                0.99428,                0.75066,                 0.9372,                0.38686,                 1.2418,             0.00090496,             0.00090496,             0.00090496
                     51,                0.88441,                0.43674,                 1.1752,                0.99689,                      1,                0.99446,                0.78792,                0.91869,                0.38923,                 1.2352,             0.00090298,             0.00090298,             0.00090298
                     52,                  0.908,                0.44723,                 1.1898,                0.99713,                0.99676,                0.99451,                0.77739,                 0.9104,                0.39624,                 1.2361,               0.000901,               0.000901,               0.000901
                     53,                0.88597,                0.45113,                 1.1823,                0.99428,                0.99876,                0.99391,                0.77409,                0.93458,                0.38407,                 1.2224,             0.00089902,             0.00089902,             0.00089902
                     54,                0.89849,                 0.4476,                 1.1914,                0.99322,                0.99713,                0.99435,                0.76835,                0.90568,                0.38323,                 1.2324,             0.00089704,             0.00089704,             0.00089704
                     55,                0.89863,                0.44665,                 1.1782,                0.97767,                      1,                0.99028,                0.74204,                0.96839,                0.40866,                 1.2804,             0.00089506,             0.00089506,             0.00089506
                     56,                0.90108,                0.44227,                 1.1776,                0.99405,                      1,                0.99474,                 0.7587,                0.93726,                0.39975,                 1.2503,             0.00089308,             0.00089308,             0.00089308
                     57,                0.90114,                0.46692,                 1.1924,                0.97752,                0.99946,                0.99228,                0.75533,                0.92071,                0.40153,                 1.2497,              0.0008911,              0.0008911,              0.0008911
                     58,                0.90296,                0.44674,                 1.1819,                 0.9964,                      1,                0.99486,                0.77185,                0.91721,                 0.3772,                 1.2229,             0.00088912,             0.00088912,             0.00088912
                     59,                0.88137,                0.42472,                 1.1656,                0.99569,                0.99713,                0.99454,                0.76943,                 0.9203,                0.38472,                 1.2509,             0.00088714,             0.00088714,             0.00088714
                     60,                0.86547,                0.44089,                 1.1671,                0.86909,                 0.6486,                0.70061,                0.45264,                 1.4444,                 1.3417,                 1.5689,             0.00088516,             0.00088516,             0.00088516
                     61,                0.91189,                0.43152,                 1.1821,                0.99142,                0.99615,                0.99339,                0.75822,                0.91714,                0.38684,                 1.2081,             0.00088318,             0.00088318,             0.00088318
