                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.79066,                0.36693,                 1.1163,                0.99713,                0.99681,                0.99437,                0.78734,                0.88585,                0.32664,                 1.1968,             9.3664e-05,             9.3664e-05,             9.3664e-05
                     35,                0.81439,                0.38012,                 1.1267,                0.99539,                0.99713,                0.99477,                0.77653,                 0.8797,                0.32658,                 1.1663,             9.3466e-05,             9.3466e-05,             9.3466e-05
                     36,                0.80342,                0.37479,                 1.1286,                0.99685,                      1,                0.99423,                0.77421,                0.86764,                0.31957,                 1.2012,             9.3268e-05,             9.3268e-05,             9.3268e-05
                     37,                0.78587,                 0.3693,                 1.1131,                0.99342,                0.99713,                0.99459,                0.78526,                 0.8732,                0.31618,                 1.1867,              9.307e-05,              9.307e-05,              9.307e-05
                     38,                0.79953,                0.36391,                 1.1175,                0.99399,                0.99713,                0.99457,                0.77118,                0.85311,                0.31367,                  1.171,             9.2872e-05,             9.2872e-05,             9.2872e-05
                     39,                0.77479,                0.35616,                  1.102,                0.99414,                      1,                0.99454,                0.77913,                0.85552,                0.31596,                 1.1836,             9.2674e-05,             9.2674e-05,             9.2674e-05
                     40,                0.78154,                0.35989,                 1.1148,                0.99669,                      1,                 0.9942,                 0.7963,                0.84546,                0.30053,                 1.1599,             9.2476e-05,             9.2476e-05,             9.2476e-05
                     41,                 0.7754,                 0.3512,                 1.1144,                0.99669,                      1,                  0.994,                0.77247,                 0.8685,                0.31807,                 1.1702,             9.2278e-05,             9.2278e-05,             9.2278e-05
                     42,                0.82004,                0.37478,                 1.1329,                0.99394,                0.99713,                 0.9948,                0.80605,                0.84594,                0.31514,                 1.1471,              9.208e-05,              9.208e-05,              9.208e-05
                     43,                0.76255,                0.34997,                 1.1023,                0.99391,                0.99713,                0.99403,                0.77146,                 0.8663,                0.31197,                   1.17,             9.1882e-05,             9.1882e-05,             9.1882e-05
